Date,Product,Region,Sales,Quantity,Profit,Profit_Margin_%,Sales_With_10pct_Increase,Region_Sales_Share_%
2024-02-17,Widget D,West,353.0,23,83.49,23.65,388.3,0.13
2024-02-18,Widget C,East,4117.0,16,534.69,12.99,4528.700000000001,1.44
2024-02-19,Widget D,South,3069.0,48,897.1,29.23,3375.9,1.34
2024-02-20,Widget D,West,4902.0,12,665.14,13.57,5392.200000000001,1.77
2024-02-21,Widget A,West,4027.0,21,563.41,13.99,4429.700000000001,1.45
2024-02-22,Widget B,South,4819.0,4,1309.79,27.18,5300.900000000001,2.11
2024-02-23,Widget B,North,1268.0,39,358.23,28.25,1394.8000000000002,0.53
2024-02-24,Widget B,East,1510.0,32,215.07,14.24,1661.0000000000002,0.53
2024-02-25,Widget A,East,4262.0,5,826.66,19.4,4688.200000000001,1.49
2024-02-26,Widget C,North,1299.0,11,320.46,24.67,1428.9,0.54
2024-02-27,Widget A,East,380.0,28,104.76,27.57,418.00000000000006,0.13
2024-02-28,Widget C,West,3378.0,27,593.89,17.58,3715.8,1.22
2024-02-29,Widget C,North,4024.0,40,818.5,20.34,4426.400000000001,1.67
2024-03-01,Widget D,East,4844.0,14,1202.97,24.83,5328.400000000001,1.7
2024-03-02,Widget C,North,4646.0,46,1143.97,24.62,5110.6,1.93
2024-03-03,Widget B,East,689.0,22,176.79,25.66,757.9000000000001,0.24
2024-03-04,Widget D,South,3883.0,41,830.91,21.4,4271.3,1.7
2024-03-05,Widget B,North,4246.0,12,513.44,12.09,4670.6,1.76
2024-03-06,Widget B,West,3520.0,2,988.4,28.08,3872.0000000000005,1.27
2024-03-07,Widget D,North,4117.0,3,1124.41,27.31,4528.700000000001,1.71
2024-03-08,Widget B,East,4206.0,19,1091.96,25.96,4626.6,1.47
2024-03-09,Widget A,North,2288.0,47,526.8835824742268,23.03,2516.8,0.95
2024-03-10,Widget B,West,296.0,3,41.7,14.09,325.6,0.11
2024-03-11,Widget D,East,2335.0,19,580.76,24.87,2568.5,0.82
2024-03-12,Widget A,West,1088.0,6,113.84,10.46,1196.8000000000002,0.39
2024-03-13,Widget B,South,657.0,46,194.37,29.58,722.7,0.29
2024-03-14,Widget A,South,712.0,34,124.91,17.54,783.2,0.31
2024-03-15,Widget C,East,3517.0,38,857.66,24.39,3868.7000000000003,1.23
2024-03-16,Widget B,West,2572.0,35,713.77,27.75,2829.2000000000003,0.93
2024-03-17,Widget B,West,2745.0,33,491.15,17.89,3019.5000000000005,0.99
2024-03-18,Widget A,North,3751.0,38,614.51,16.38,4126.1,1.56
2024-03-19,Widget C,East,2786.0,1,617.79,22.17,3064.6000000000004,0.98
2024-03-20,Widget C,North,3187.0,43,689.02,21.62,3505.7000000000003,1.32
2024-03-21,Widget D,South,521.0,37,94.73,18.18,573.1,0.23
2024-03-22,Widget B,West,4270.0,37,940.92,22.04,4697.0,1.54
2024-03-23,Widget A,South,2299.0,20,659.99,28.71,2528.9,1.01
2024-03-24,Widget D,West,860.0,40,526.8835824742268,61.27,946.0000000000001,0.31
2024-03-25,Widget C,South,4085.0,19,569.24,13.93,4493.5,1.79
2024-03-26,Widget C,North,3699.0,3,648.96,17.54,4068.9000000000005,1.54
2024-03-27,Widget A,South,359.0,45,64.2,17.88,394.90000000000003,0.16
2024-03-28,Widget B,East,1045.0,12,131.9,12.62,1149.5,0.37
2024-03-29,Widget D,West,177.0,5,23.47,13.26,194.70000000000002,0.06
2024-03-30,Widget D,East,1426.0,31,337.84,23.69,1568.6000000000001,0.5
2024-03-31,Widget B,West,589.0,12,98.89,16.79,647.9000000000001,0.21
2024-04-01,Widget D,West,3578.0,43,1041.13,29.1,3935.8,1.29
2024-04-02,Widget D,West,2660.0,22,395.59,14.87,2926.0000000000005,0.96
2024-04-03,Widget B,East,4903.0,1,587.31,11.98,5393.3,1.72
2024-04-04,Widget D,South,3772.0,47,945.64,25.07,4149.200000000001,1.65
2024-04-05,Widget B,South,3096.0,26,855.14,27.62,3405.6000000000004,1.35
2024-04-06,Widget A,North,2595.0,13,403.84,15.56,2854.5000000000005,1.08
2024-04-07,Widget C,South,367.0,34,51.53,14.04,403.70000000000005,0.16
2024-04-08,Widget C,West,443.0,26,60.76,13.72,487.3,0.16
2024-04-09,Widget A,South,3119.0,2,637.53,20.44,3430.9,1.36
2024-04-10,Widget D,North,121.0,38,23.44,19.37,133.10000000000002,0.05
2024-04-11,Widget A,East,307.0,20,46.63,15.19,337.70000000000005,0.11
2024-04-12,Widget D,West,1173.0,35,127.9,10.9,1290.3000000000002,0.42
2024-04-13,Widget A,West,2556.242105263158,44,869.99,34.03,2811.866315789474,0.92
2024-04-14,Widget D,South,2348.0,30,685.3,29.19,2582.8,1.03
2024-04-15,Widget D,South,3576.0,33,824.28,23.05,3933.6000000000004,1.56
2024-04-16,Widget D,East,2116.0,13,421.3,19.91,2327.6000000000004,0.74
2024-04-17,Widget C,North,948.0,12,115.79,12.21,1042.8000000000002,0.39
2024-04-18,Widget B,South,1918.0,21,288.63,15.05,2109.8,0.84
2024-04-19,Widget C,North,549.0,42,87.27,15.9,603.9000000000001,0.23
2024-04-20,Widget B,West,3874.0,26,979.97,25.3,4261.400000000001,1.4
2024-04-21,Widget D,East,999.0,18,275.07,27.53,1098.9,0.35
2024-04-22,Widget C,West,1944.0,39,544.96,28.03,2138.4,0.7
2024-04-23,Widget B,West,4902.0,42,1455.47,29.69,5392.200000000001,1.77
2024-04-24,Widget C,West,3000.0,45,889.42,29.65,3300.0000000000005,1.08
2024-04-25,Widget C,North,2556.242105263158,15,681.75,26.67,2811.866315789474,1.06
2024-04-26,Widget A,West,2760.0,35,315.65,11.44,3036.0000000000005,0.99
2024-04-27,Widget A,North,3941.0,29,502.71,12.76,4335.1,1.64
2024-04-28,Widget A,South,1346.0,22,216.56,16.09,1480.6000000000001,0.59
2024-04-29,Widget A,East,3218.0,20,677.65,21.06,3539.8,1.13
2024-04-30,Widget B,South,4376.0,6,522.48,11.94,4813.6,1.91
2024-05-01,Widget C,North,2904.0,14,781.64,26.92,3194.4,1.21
2024-05-02,Widget C,North,2288.0,27,511.03,22.34,2516.8,0.95
2024-05-03,Widget B,West,811.0,44,169.07,20.85,892.1,0.29
2024-05-04,Widget D,South,1316.0,43,175.11,13.31,1447.6000000000001,0.58
2024-05-05,Widget C,South,4735.0,10,713.33,15.07,5208.5,2.07
2024-05-06,Widget A,West,2752.0,34,363.44,13.21,3027.2000000000003,0.99
2024-05-07,Widget D,North,1576.0,5,426.13,27.04,1733.6000000000001,0.65
2024-05-08,Widget C,West,2150.0,34,466.22,21.68,2365.0,0.77
2024-05-09,Widget C,West,2932.0,17,724.28,24.7,3225.2000000000003,1.06
2024-05-10,Widget C,East,2733.0,23,435.11,15.92,3006.3,0.96
2024-05-11,Widget C,North,3528.0,36,614.76,17.43,3880.8,1.47
2024-05-12,Widget A,North,1361.0,21,246.3,18.1,1497.1000000000001,0.57
2024-05-13,Widget C,South,3281.0,40,826.82,25.2,3609.1000000000004,1.43
2024-05-14,Widget D,East,2269.0,27,577.39,25.45,2495.9,0.79
2024-05-15,Widget B,North,4708.0,49,665.54,14.14,5178.8,1.96
2024-05-16,Widget C,South,873.0,32,251.69,28.83,960.3000000000001,0.38
2024-05-17,Widget A,North,827.0,15,102.66,12.41,909.7,0.34
2024-05-18,Widget B,East,2362.0,38,659.53,27.92,2598.2000000000003,0.83
2024-05-19,Widget B,North,2590.0,20,311.0,12.01,2849.0000000000005,1.08
2024-05-20,Widget D,East,3485.0,27,532.88,15.29,3833.5000000000005,1.22
2024-05-21,Widget A,North,2079.0,7,526.8835824742268,25.34,2286.9,0.86
2024-05-22,Widget B,North,4577.0,6,622.01,13.59,5034.700000000001,1.9
2024-05-23,Widget B,North,2556.242105263158,29,442.72,17.32,2811.866315789474,1.06
2024-05-24,Widget D,West,733.0,10,139.25,19.0,806.3000000000001,0.26
2024-05-25,Widget D,North,684.0,49,101.95,14.9,752.4000000000001,0.28
2024-05-26,Widget A,South,2556.242105263158,42,1178.54,46.1,2811.866315789474,1.12
2024-05-27,Widget A,East,2556.242105263158,35,204.59,8.0,2811.866315789474,0.9
2024-05-28,Widget D,East,4744.0,37,1304.2,27.49,5218.400000000001,1.66
2024-05-29,Widget A,East,1462.0,30,245.42,16.79,1608.2,0.51
2024-05-30,Widget D,West,557.0,3,114.84,20.62,612.7,0.2
2024-05-31,Widget B,South,1593.0,20,238.44,14.97,1752.3000000000002,0.7
2024-06-01,Widget D,West,3112.0,25,463.56,14.9,3423.2000000000003,1.12
2024-06-02,Widget B,South,2196.0,45,290.42,13.22,2415.6000000000004,0.96
2024-06-03,Widget B,West,3949.0,11,1137.33,28.8,4343.900000000001,1.42
2024-06-04,Widget C,East,3093.0,25,858.61,27.76,3402.3,1.08
2024-06-05,Widget A,East,2063.0,17,527.04,25.55,2269.3,0.72
2024-06-06,Widget C,West,3209.0,7,653.14,20.35,3529.9,1.16
2024-06-07,Widget C,West,4860.0,6,962.87,19.81,5346.0,1.75
2024-06-08,Widget D,West,2117.0,18,435.99,20.59,2328.7000000000003,0.76
2024-06-09,Widget D,East,851.0,5,176.42,20.73,936.1,0.3
2024-06-10,Widget C,North,2103.0,4,393.08,18.69,2313.3,0.87
2024-06-11,Widget B,South,4216.0,18,532.7,12.64,4637.6,1.84
2024-06-12,Widget B,North,1166.0,10,145.9,12.51,1282.6000000000001,0.48
2024-06-13,Widget B,West,4750.0,28,1379.64,29.05,5225.0,1.71
2024-06-14,Widget D,North,2982.0,1,585.68,19.64,3280.2000000000003,1.24
2024-06-15,Widget B,North,3047.0,15,885.58,29.06,3351.7000000000003,1.27
2024-06-16,Widget A,North,2556.242105263158,23,219.38,8.58,2811.866315789474,1.06
2024-06-17,Widget B,East,4610.0,48,972.17,21.09,5071.0,1.61
2024-06-18,Widget A,East,276.0,32,39.07,14.16,303.6,0.1
2024-06-19,Widget A,West,1563.0,44,235.45,15.06,1719.3000000000002,0.56
2024-06-20,Widget A,South,2150.0,17,227.92,10.6,2365.0,0.94
2024-06-21,Widget D,South,2438.0,23,301.8,12.38,2681.8,1.07
2024-06-22,Widget C,North,2423.0,21,686.6,28.34,2665.3,1.01
2024-06-23,Widget C,North,824.0,44,135.39,16.43,906.4000000000001,0.34
2024-06-24,Widget B,South,1205.0,48,267.06,22.16,1325.5,0.53
2024-06-25,Widget C,West,566.0,48,109.24,19.3,622.6,0.2
2024-06-26,Widget A,East,2905.0,37,523.16,18.01,3195.5000000000005,1.02
2024-06-27,Widget D,West,1819.0,25,375.4,20.64,2000.9,0.66
2024-06-28,Widget C,North,2872.0,27,394.75,13.74,3159.2000000000003,1.19
2024-06-29,Widget D,North,2556.242105263158,49,889.89,34.81,2811.866315789474,1.06
2024-06-30,Widget A,West,3539.0,14,933.1,26.37,3892.9,1.28
2024-07-01,Widget B,North,2780.0,17,690.34,24.83,3058.0000000000005,1.15
2024-07-02,Widget C,North,3274.0,44,634.34,19.38,3601.4,1.36
2024-07-03,Widget B,South,2977.0,19,388.72,13.06,3274.7000000000003,1.3
2024-07-04,Widget B,West,3296.0,12,936.5,28.41,3625.6000000000004,1.19
2024-07-05,Widget A,East,3121.0,28,525.19,16.83,3433.1000000000004,1.09
2024-07-06,Widget B,North,1649.0,16,181.43,11.0,1813.9,0.69
2024-07-07,Widget A,West,1306.0,44,220.04,16.85,1436.6000000000001,0.47
2024-07-08,Widget B,West,3958.0,45,1024.69,25.89,4353.8,1.43
2024-07-09,Widget C,West,1779.0,15,399.46,22.45,1956.9,0.64
2024-07-10,Widget C,West,2790.0,26,697.97,25.02,3069.0000000000005,1.01
2024-07-11,Widget C,North,2556.242105263158,49,275.54,10.78,2811.866315789474,1.06
2024-07-12,Widget B,West,2213.0,37,315.11,14.24,2434.3,0.8
2024-07-13,Widget D,South,2695.0,11,767.42,28.48,2964.5000000000005,1.18
2024-07-14,Widget A,West,3167.0,29,594.12,18.76,3483.7000000000003,1.14
2024-07-15,Widget B,East,2679.0,31,610.28,22.78,2946.9,0.94
2024-07-16,Widget A,West,1867.0,33,187.56,10.05,2053.7000000000003,0.67
2024-07-17,Widget B,East,4812.0,2,1437.22,29.87,5293.200000000001,1.69
2024-07-18,Widget D,East,2612.0,15,407.94,15.62,2873.2000000000003,0.91
2024-07-19,Widget B,East,4060.0,42,456.4,11.24,4466.0,1.42
2024-07-20,Widget D,West,3709.0,12,710.84,19.17,4079.9000000000005,1.34
2024-07-21,Widget B,East,2835.0,15,356.66,12.58,3118.5000000000005,0.99
2024-07-22,Widget C,North,4443.0,16,579.66,13.05,4887.3,1.85
2024-07-23,Widget B,West,728.0,9,164.86,22.65,800.8000000000001,0.26
2024-07-24,Widget B,East,4613.0,8,823.81,17.86,5074.3,1.62
2024-07-25,Widget D,South,4266.0,18,1213.12,28.44,4692.6,1.87
2024-07-26,Widget D,East,2556.242105263158,43,420.55,16.45,2811.866315789474,0.9
2024-07-27,Widget B,West,3693.0,1,905.66,24.52,4062.3,1.33
2024-07-28,Widget D,West,2649.0,14,509.19,19.22,2913.9,0.95
2024-07-29,Widget B,West,1416.0,3,328.5,23.2,1557.6000000000001,0.51
2024-07-30,Widget C,South,2556.242105263158,28,883.94,34.58,2811.866315789474,1.12
2024-07-31,Widget D,West,1305.0,13,253.9,19.46,1435.5000000000002,0.47
2024-08-01,Widget B,South,1640.0,39,475.62,29.0,1804.0000000000002,0.72
2024-08-02,Widget C,East,2644.0,29,445.63,16.85,2908.4,0.93
2024-08-03,Widget B,East,4203.0,39,569.28,13.54,4623.3,1.47
2024-08-04,Widget A,North,2556.242105263158,32,466.76,18.26,2811.866315789474,1.06
2024-08-05,Widget A,South,2521.0,22,678.66,26.92,2773.1000000000004,1.1
2024-08-06,Widget B,North,304.0,43,32.85,10.81,334.40000000000003,0.13
2024-08-07,Widget D,North,667.0,24,126.68,18.99,733.7,0.28
2024-08-08,Widget A,South,374.0,47,104.16,27.85,411.40000000000003,0.16
2024-08-09,Widget B,South,453.0,49,113.22,24.99,498.30000000000007,0.2
2024-08-10,Widget C,North,4355.0,29,1299.36,29.84,4790.5,1.81
2024-08-11,Widget A,South,4225.0,34,871.54,20.63,4647.5,1.85
2024-08-12,Widget C,East,4127.0,13,957.46,23.2,4539.700000000001,1.45
2024-08-13,Widget B,North,372.0,40,59.7,16.05,409.20000000000005,0.15
2024-08-14,Widget D,South,480.0,33,138.96,28.95,528.0,0.21
2024-08-15,Widget C,South,1474.0,45,255.4,17.33,1621.4,0.64
2024-08-16,Widget C,East,2869.0,14,710.66,24.77,3155.9,1.0
2024-08-17,Widget A,South,1737.0,39,313.75,18.06,1910.7,0.76
2024-08-18,Widget B,East,2489.0,24,528.57,21.24,2737.9,0.87
2024-08-19,Widget D,South,947.0,10,231.03,24.4,1041.7,0.41
2024-08-20,Widget A,South,3680.0,9,742.58,20.18,4048.0000000000005,1.61
2024-08-21,Widget D,South,1638.0,28,460.96,28.14,1801.8000000000002,0.72
2024-08-22,Widget B,North,426.0,16,78.32,18.38,468.6,0.18
2024-08-23,Widget C,East,3739.0,5,526.8835824742268,14.09,4112.900000000001,1.31
2024-08-24,Widget C,North,4523.0,21,762.0,16.85,4975.3,1.88
2024-08-25,Widget B,South,2556.242105263158,32,31.06,1.22,2811.866315789474,1.12
2024-08-26,Widget B,West,2239.0,16,420.95,18.8,2462.9,0.81
2024-08-27,Widget C,West,4153.0,47,519.8,12.52,4568.3,1.5
2024-08-28,Widget A,East,3560.0,39,421.31,11.83,3916.0000000000005,1.25
2024-08-29,Widget C,West,4297.0,26,1003.34,23.35,4726.700000000001,1.55
2024-08-30,Widget A,West,2134.0,46,493.17,23.11,2347.4,0.77
2024-08-31,Widget C,South,1924.0,22,447.49,23.26,2116.4,0.84
2024-09-01,Widget C,West,3574.0,7,371.53,10.4,3931.4,1.29
2024-09-02,Widget A,South,2556.242105263158,2,140.84,5.51,2811.866315789474,1.12
2024-09-03,Widget D,South,1273.0,46,177.66,13.96,1400.3000000000002,0.56
2024-09-04,Widget B,East,3044.0,48,778.14,25.56,3348.4,1.07
2024-09-05,Widget D,West,3375.0,37,918.43,27.21,3712.5000000000005,1.22
2024-09-06,Widget A,West,686.0,6,102.44,14.93,754.6,0.25
2024-09-07,Widget A,South,2590.0,15,604.95,23.36,2849.0000000000005,1.13
2024-09-08,Widget B,East,1888.0,3,237.65,12.59,2076.8,0.66
2024-09-09,Widget A,North,2558.0,3,396.57,15.5,2813.8,1.06
2024-09-10,Widget B,West,4796.0,13,612.6,12.77,5275.6,1.73
2024-09-11,Widget C,East,475.0,29,74.43,15.67,522.5,0.17
2024-09-12,Widget A,East,4977.0,4,1169.33,23.49,5474.700000000001,1.74
2024-09-13,Widget C,West,2302.0,49,526.8835824742268,22.89,2532.2000000000003,0.83
2024-09-14,Widget A,East,3883.0,23,545.58,14.05,4271.3,1.36
2024-09-15,Widget A,North,2179.0,13,454.14,20.84,2396.9,0.91
2024-09-16,Widget C,South,1623.0,26,389.97,24.03,1785.3000000000002,0.71
2024-09-17,Widget D,North,3875.0,39,1126.01,29.06,4262.5,1.61
2024-09-18,Widget A,East,3469.0,16,770.16,22.2,3815.9,1.22
2024-09-19,Widget B,North,805.0,3,121.57,15.1,885.5000000000001,0.33
2024-09-20,Widget D,North,3556.0,3,800.44,22.51,3911.6000000000004,1.48
2024-09-21,Widget D,East,3790.0,42,621.93,16.41,4169.0,1.33
2024-09-22,Widget C,East,2000.0,6,590.45,29.52,2200.0,0.7
2024-09-23,Widget B,East,4635.0,32,834.0,17.99,5098.5,1.62
2024-09-24,Widget B,West,3240.0,19,768.16,23.71,3564.0000000000005,1.17
2024-09-25,Widget C,West,1734.0,39,181.46,10.46,1907.4,0.62
2024-09-26,Widget C,North,152.0,3,27.36,18.0,167.20000000000002,0.06
2024-09-27,Widget B,West,3407.0,44,937.0,27.5,3747.7000000000003,1.23
2024-09-28,Widget A,East,1124.0,35,249.58,22.2,1236.4,0.39
2024-09-29,Widget A,East,3806.0,23,718.53,18.88,4186.6,1.33
2024-09-30,Widget D,North,2672.0,11,767.36,28.72,2939.2000000000003,1.11
2024-10-01,Widget B,East,2386.0,48,646.12,27.08,2624.6000000000004,0.84
2024-10-02,Widget B,East,2556.242105263158,15,148.33,5.8,2811.866315789474,0.9
2024-10-03,Widget B,East,3586.0,25,749.15,20.89,3944.6000000000004,1.26
2024-10-04,Widget D,North,912.0,20,180.54,19.8,1003.2,0.38
2024-10-05,Widget A,East,2146.0,12,485.94,22.64,2360.6000000000004,0.75
2024-10-06,Widget A,West,4197.0,21,700.15,16.68,4616.700000000001,1.51
2024-10-07,Widget B,East,4609.0,8,686.01,14.88,5069.900000000001,1.61
2024-10-08,Widget B,North,4946.0,1,1397.41,28.25,5440.6,2.05
2024-10-09,Widget C,West,4794.0,15,1365.21,28.48,5273.400000000001,1.73
2024-10-10,Widget B,West,2824.0,6,758.71,26.87,3106.4,1.02
2024-10-11,Widget B,North,1082.0,21,319.88,29.56,1190.2,0.45
2024-10-12,Widget D,West,2556.242105263158,43,1048.53,41.02,2811.866315789474,0.92
2024-10-13,Widget A,South,4027.0,8,1018.56,25.29,4429.700000000001,1.76
2024-10-14,Widget C,East,4952.0,1,1250.47,25.25,5447.200000000001,1.73
2024-10-15,Widget C,South,3289.0,6,645.04,19.61,3617.9,1.44
2024-10-16,Widget B,West,793.0,25,151.69,19.13,872.3000000000001,0.29
2024-10-17,Widget D,West,2564.0,14,379.59,14.8,2820.4,0.92
2024-10-18,Widget B,West,2296.0,24,525.7,22.9,2525.6000000000004,0.83
2024-10-19,Widget D,West,4230.0,2,667.76,15.79,4653.0,1.52
2024-10-20,Widget B,West,2023.0,17,306.61,15.16,2225.3,0.73
2024-10-21,Widget C,North,1710.0,21,371.4,21.72,1881.0000000000002,0.71
2024-10-22,Widget C,South,492.0,22,89.54,18.2,541.2,0.22
2024-10-23,Widget D,East,4193.0,28,602.83,14.38,4612.3,1.47
2024-10-24,Widget B,East,3801.0,39,1000.47,26.32,4181.1,1.33
2024-10-25,Widget B,North,302.0,23,82.18,27.21,332.20000000000005,0.13
2024-10-26,Widget A,North,2225.0,42,297.13,13.35,2447.5,0.92
2024-10-27,Widget B,East,2450.0,26,248.68,10.15,2695.0,0.86
2024-10-28,Widget D,East,2399.0,13,401.18,16.72,2638.9,0.84
2024-10-29,Widget A,North,4602.0,12,1194.23,25.95,5062.200000000001,1.91
2024-10-30,Widget D,North,838.0,16,224.45,26.78,921.8000000000001,0.35
2024-10-31,Widget C,North,1601.0,30,204.39,12.77,1761.1000000000001,0.67
2024-11-01,Widget A,East,986.0,12,251.3,25.49,1084.6000000000001,0.35
2024-11-02,Widget B,North,1296.0,45,526.8835824742268,40.65,1425.6000000000001,0.54
2024-11-03,Widget C,East,4544.0,24,808.89,17.8,4998.400000000001,1.59
2024-11-04,Widget B,South,4709.0,43,1411.39,29.97,5179.900000000001,2.06
2024-11-05,Widget A,South,318.0,34,526.8835824742268,165.69,349.8,0.14
2024-11-06,Widget C,East,3197.0,17,418.14,13.08,3516.7000000000003,1.12
2024-11-07,Widget C,East,1240.0,12,228.85,18.46,1364.0,0.43
2024-11-08,Widget A,East,1043.0,37,233.56,22.39,1147.3000000000002,0.37
2024-11-09,Widget B,West,1531.0,17,438.75,28.66,1684.1000000000001,0.55
2024-11-10,Widget A,West,1052.0,13,311.56,29.62,1157.2,0.38
2024-11-11,Widget C,West,2501.0,46,284.93,11.39,2751.1000000000004,0.9
2024-11-12,Widget C,East,4978.0,24,635.19,12.76,5475.8,1.74
2024-11-13,Widget C,South,2973.0,3,767.47,25.81,3270.3,1.3
2024-11-14,Widget D,North,3643.0,25,561.48,15.41,4007.3,1.51
2024-11-15,Widget D,East,2556.242105263158,23,697.13,27.27,2811.866315789474,0.9
2024-11-16,Widget B,North,168.0,43,39.09,23.27,184.8,0.07
2024-11-17,Widget A,West,512.0,35,62.65,12.24,563.2,0.18
2024-11-18,Widget C,West,1417.0,10,377.64,26.65,1558.7,0.51
2024-11-19,Widget D,North,1293.0,8,174.91,13.53,1422.3000000000002,0.54
2024-11-20,Widget D,West,4218.0,30,779.06,18.47,4639.8,1.52
2024-11-21,Widget A,North,4233.0,3,890.78,21.04,4656.3,1.76
2024-11-22,Widget A,East,4285.0,16,857.66,20.02,4713.5,1.5
2024-11-23,Widget A,North,3224.0,7,764.84,23.72,3546.4,1.34
2024-11-24,Widget A,South,2825.0,2,651.27,23.05,3107.5000000000005,1.24
2024-11-25,Widget C,East,3280.0,46,978.78,29.84,3608.0000000000005,1.15
2024-11-26,Widget C,East,2093.0,5,627.66,29.99,2302.3,0.73
2024-11-27,Widget B,South,3383.0,1,687.74,20.33,3721.3,1.48
2024-11-28,Widget B,West,3992.0,46,475.21,11.9,4391.200000000001,1.44
2024-11-29,Widget D,West,3838.0,10,942.49,24.56,4221.8,1.38
2024-11-30,Widget B,North,3107.0,41,917.6,29.53,3417.7000000000003,1.29
2024-12-01,Widget D,East,384.0,2,526.8835824742268,137.21,422.40000000000003,0.13
2024-12-02,Widget D,East,3652.0,8,702.07,19.22,4017.2000000000003,1.28
2024-12-03,Widget B,South,1896.0,6,350.68,18.5,2085.6000000000004,0.83
2024-12-04,Widget A,East,3743.0,35,412.79,11.03,4117.3,1.31
2024-12-05,Widget D,West,2743.0,31,643.1,23.45,3017.3,0.99
2024-12-06,Widget C,West,4417.0,24,753.84,17.07,4858.700000000001,1.59
2024-12-07,Widget B,West,1758.0,12,452.67,25.75,1933.8000000000002,0.63
2024-12-08,Widget C,East,4663.0,5,1242.34,26.64,5129.3,1.63
2024-12-09,Widget C,South,4237.0,28,1119.61,26.42,4660.700000000001,1.85
2024-12-10,Widget D,West,1722.0,12,315.7,18.33,1894.2,0.62
2024-12-11,Widget B,South,2464.0,29,404.86,16.43,2710.4,1.08
2024-12-12,Widget D,East,2703.0,34,675.11,24.98,2973.3,0.95
