Date,Product,Region,Sales,Quantity,Profit
2024-03-13,Widget B,South,657.0,46,194.37
2024-03-14,Widget A,South,712.0,34,124.91
2024-03-15,Widget C,East,3517.0,38,857.66
2024-03-16,Widget B,West,2572.0,35,713.77
2024-03-17,Widget B,West,2745.0,33,491.15
2024-03-18,Widget A,North,3751.0,38,614.51
2024-03-19,Widget C,East,2786.0,1,617.79
2024-03-20,Widget C,North,3187.0,43,689.02
2024-03-21,Widget D,South,521.0,37,94.73
2024-03-22,Widget B,West,4270.0,37,940.92
2024-03-23,Widget A,South,2299.0,20,659.99
2024-03-24,Widget D,West,860.0,40,
2024-03-25,Widget C,South,4085.0,19,569.24
2024-03-26,Widget C,North,3699.0,3,648.96
2024-03-27,Widget A,South,359.0,45,64.2
2024-03-28,Widget B,East,1045.0,12,131.9
2024-03-29,Widget D,West,177.0,5,23.47
2024-03-30,Widget D,East,1426.0,31,337.84
2024-03-31,Widget B,West,589.0,12,98.89
2024-04-01,Widget D,West,3578.0,43,1041.13
2024-04-02,Widget D,West,2660.0,22,395.59
2024-04-03,Widget B,East,4903.0,1,587.31
2024-04-04,Widget D,South,3772.0,47,945.64
2024-04-05,Widget B,South,3096.0,26,855.14
2024-04-06,Widget A,North,2595.0,13,403.84
2024-04-07,Widget C,South,367.0,34,51.53
2024-04-08,Widget C,West,443.0,26,60.76
2024-04-09,Widget A,South,3119.0,2,637.53
2024-04-10,Widget D,North,121.0,38,23.44
2024-04-11,Widget A,East,307.0,20,46.63
2024-04-12,Widget D,West,1173.0,35,127.9
2024-04-13,Widget A,West,,44,869.99
2024-04-14,Widget D,South,2348.0,30,685.3
2024-04-15,Widget D,South,3576.0,33,824.28
2024-04-16,Widget D,East,2116.0,13,421.3
2024-04-17,Widget C,North,948.0,12,115.79
2024-04-18,Widget B,South,1918.0,21,288.63
2024-04-19,Widget C,North,549.0,42,87.27
2024-04-20,Widget B,West,3874.0,26,979.97
2024-04-21,Widget D,East,999.0,18,275.07
2024-04-22,Widget C,West,1944.0,39,544.96
2024-04-23,Widget B,West,4902.0,42,1455.47
2024-04-24,Widget C,West,3000.0,45,889.42
2024-04-25,Widget C,North,,15,681.75
2024-04-26,Widget A,West,2760.0,35,315.65
2024-04-27,Widget A,North,3941.0,29,502.71
2024-04-28,Widget A,South,1346.0,22,216.56
2024-04-29,Widget A,East,3218.0,20,677.65
2024-04-30,Widget B,South,4376.0,6,522.48
2024-05-01,Widget C,North,2904.0,14,781.64
2024-05-02,Widget C,North,2288.0,27,511.03
2024-05-03,Widget B,West,811.0,44,169.07
2024-05-04,Widget D,South,1316.0,43,175.11
2024-05-05,Widget C,South,4735.0,10,713.33
2024-05-06,Widget A,West,2752.0,34,363.44
2024-05-07,Widget D,North,1576.0,5,426.13
2024-05-08,Widget C,West,2150.0,34,466.22
2024-05-09,Widget C,West,2932.0,17,724.28
2024-05-10,Widget C,East,2733.0,23,435.11
2024-05-11,Widget C,North,3528.0,36,614.76
2024-05-12,Widget A,North,1361.0,21,246.3
2024-05-13,Widget C,South,3281.0,40,826.82
2024-05-14,Widget D,East,2269.0,27,577.39
2024-05-15,Widget B,North,4708.0,49,665.54
2024-05-16,Widget C,South,873.0,32,251.69
2024-05-17,Widget A,North,827.0,15,102.66
2024-05-18,Widget B,East,2362.0,38,659.53
2024-05-19,Widget B,North,2590.0,20,311.0
2024-05-20,Widget D,East,3485.0,27,532.88
2024-05-21,Widget A,North,2079.0,7,
2024-05-22,Widget B,North,4577.0,6,622.01
2024-05-23,Widget B,North,,29,442.72
2024-05-24,Widget D,West,733.0,10,139.25
2024-05-25,Widget D,North,684.0,49,101.95
2024-05-26,Widget A,South,,42,1178.54
2024-05-27,Widget A,East,,35,204.59
2024-05-28,Widget D,East,4744.0,37,1304.2
2024-05-29,Widget A,East,1462.0,30,245.42
2024-05-30,Widget D,West,557.0,3,114.84
2024-05-31,Widget B,South,1593.0,20,238.44
2024-06-01,Widget D,West,3112.0,25,463.56
2024-06-02,Widget B,South,2196.0,45,290.42
2024-06-03,Widget B,West,3949.0,11,1137.33
2024-06-04,Widget C,East,3093.0,25,858.61
2024-06-05,Widget A,East,2063.0,17,527.04
2024-06-06,Widget C,West,3209.0,7,653.14
2024-06-07,Widget C,West,4860.0,6,962.87
2024-06-08,Widget D,West,2117.0,18,435.99
2024-06-09,Widget D,East,851.0,5,176.42
2024-06-10,Widget C,North,2103.0,4,393.08
2024-06-11,Widget B,South,4216.0,18,532.7
2024-06-12,Widget B,North,1166.0,10,145.9
2024-06-13,Widget B,West,4750.0,28,1379.64
2024-06-14,Widget D,North,2982.0,1,585.68
2024-06-15,Widget B,North,3047.0,15,885.58
2024-06-16,Widget A,North,,23,219.38
2024-06-17,Widget B,East,4610.0,48,972.17
2024-06-18,Widget A,East,276.0,32,39.07
2024-06-19,Widget A,West,1563.0,44,235.45
2024-06-20,Widget A,South,2150.0,17,227.92
2024-06-21,Widget D,South,2438.0,23,301.8
2024-06-22,Widget C,North,2423.0,21,686.6
2024-06-23,Widget C,North,824.0,44,135.39
2024-06-24,Widget B,South,1205.0,48,267.06
2024-06-25,Widget C,West,566.0,48,109.24
2024-06-26,Widget A,East,2905.0,37,523.16
2024-06-27,Widget D,West,1819.0,25,375.4
2024-06-28,Widget C,North,2872.0,27,394.75
2024-06-29,Widget D,North,,49,889.89
2024-06-30,Widget A,West,3539.0,14,933.1
2024-07-01,Widget B,North,2780.0,17,690.34
2024-07-02,Widget C,North,3274.0,44,634.34
2024-07-03,Widget B,South,2977.0,19,388.72
2024-07-04,Widget B,West,3296.0,12,936.5
2024-07-05,Widget A,East,3121.0,28,525.19
2024-07-06,Widget B,North,1649.0,16,181.43
2024-07-07,Widget A,West,1306.0,44,220.04
2024-07-08,Widget B,West,3958.0,45,1024.69
2024-07-09,Widget C,West,1779.0,15,399.46
2024-07-10,Widget C,West,2790.0,26,697.97
2024-07-11,Widget C,North,,49,275.54
2024-07-12,Widget B,West,2213.0,37,315.11
2024-07-13,Widget D,South,2695.0,11,767.42
2024-07-14,Widget A,West,3167.0,29,594.12
2024-07-15,Widget B,East,2679.0,31,610.28
2024-07-16,Widget A,West,1867.0,33,187.56
2024-07-17,Widget B,East,4812.0,2,1437.22
2024-07-18,Widget D,East,2612.0,15,407.94
2024-07-19,Widget B,East,4060.0,42,456.4
2024-07-20,Widget D,West,3709.0,12,710.84
2024-07-21,Widget B,East,2835.0,15,356.66
2024-07-22,Widget C,North,4443.0,16,579.66
2024-07-23,Widget B,West,728.0,9,164.86
2024-07-24,Widget B,East,4613.0,8,823.81
2024-07-25,Widget D,South,4266.0,18,1213.12
2024-07-26,Widget D,East,,43,420.55
2024-07-27,Widget B,West,3693.0,1,905.66
2024-07-28,Widget D,West,2649.0,14,509.19
2024-07-29,Widget B,West,1416.0,3,328.5
2024-07-30,Widget C,South,,28,883.94
2024-07-31,Widget D,West,1305.0,13,253.9
2024-08-01,Widget B,South,1640.0,39,475.62
2024-08-02,Widget C,East,2644.0,29,445.63
2024-08-03,Widget B,East,4203.0,39,569.28
2024-08-04,Widget A,North,,32,466.76
2024-08-05,Widget A,South,2521.0,22,678.66
2024-08-06,Widget B,North,304.0,43,32.85
2024-08-07,Widget D,North,667.0,24,126.68
2024-08-08,Widget A,South,374.0,47,104.16
2024-08-09,Widget B,South,453.0,49,113.22
2024-08-10,Widget C,North,4355.0,29,1299.36
2024-08-11,Widget A,South,4225.0,34,871.54
2024-08-12,Widget C,East,4127.0,13,957.46
2024-08-13,Widget B,North,372.0,40,59.7
2024-08-14,Widget D,South,480.0,33,138.96
2024-08-15,Widget C,South,1474.0,45,255.4
2024-08-16,Widget C,East,2869.0,14,710.66
2024-08-17,Widget A,South,1737.0,39,313.75
2024-08-18,Widget B,East,2489.0,24,528.57
2024-08-19,Widget D,South,947.0,10,231.03
2024-08-20,Widget A,South,3680.0,9,742.58
2024-08-21,Widget D,South,1638.0,28,460.96
2024-08-22,Widget B,North,426.0,16,78.32
2024-08-23,Widget C,East,3739.0,5,
2024-08-24,Widget C,North,4523.0,21,762.0
2024-08-25,Widget B,South,,32,31.06
2024-08-26,Widget B,West,2239.0,16,420.95
2024-08-27,Widget C,West,4153.0,47,519.8
2024-08-28,Widget A,East,3560.0,39,421.31
2024-08-29,Widget C,West,4297.0,26,1003.34
2024-08-30,Widget A,West,2134.0,46,493.17
2024-08-31,Widget C,South,1924.0,22,447.49
2024-09-01,Widget C,West,3574.0,7,371.53
2024-09-02,Widget A,South,,2,140.84
2024-09-03,Widget D,South,1273.0,46,177.66
2024-09-04,Widget B,East,3044.0,48,778.14
2024-09-05,Widget D,West,3375.0,37,918.43
2024-09-06,Widget A,West,686.0,6,102.44
2024-09-07,Widget A,South,2590.0,15,604.95
2024-09-08,Widget B,East,1888.0,3,237.65
2024-09-09,Widget A,North,2558.0,3,396.57
2024-09-10,Widget B,West,4796.0,13,612.6
2024-09-11,Widget C,East,475.0,29,74.43
2024-09-12,Widget A,East,4977.0,4,1169.33
2024-09-13,Widget C,West,2302.0,49,
2024-09-14,Widget A,East,3883.0,23,545.58
2024-09-15,Widget A,North,2179.0,13,454.14
2024-09-16,Widget C,South,1623.0,26,389.97
2024-09-17,Widget D,North,3875.0,39,1126.01
2024-09-18,Widget A,East,3469.0,16,770.16
2024-09-19,Widget B,North,805.0,3,121.57
2024-09-20,Widget D,North,3556.0,3,800.44
2024-09-21,Widget D,East,3790.0,42,621.93
2024-09-22,Widget C,East,2000.0,6,590.45
2024-09-23,Widget B,East,4635.0,32,834.0
2024-09-24,Widget B,West,3240.0,19,768.16
2024-09-25,Widget C,West,1734.0,39,181.46
2024-09-26,Widget C,North,152.0,3,27.36
2024-09-27,Widget B,West,3407.0,44,937.0
2024-09-28,Widget A,East,1124.0,35,249.58
2024-09-29,Widget A,East,3806.0,23,718.53
2024-09-30,Widget D,North,2672.0,11,767.36
2024-10-01,Widget B,East,2386.0,48,646.12
2024-10-02,Widget B,East,,15,148.33
2024-10-03,Widget B,East,3586.0,25,749.15
2024-10-04,Widget D,North,912.0,20,180.54
2024-10-05,Widget A,East,2146.0,12,485.94
2024-10-06,Widget A,West,4197.0,21,700.15
2024-10-07,Widget B,East,4609.0,8,686.01
2024-10-08,Widget B,North,4946.0,1,1397.41
2024-10-09,Widget C,West,4794.0,15,1365.21
2024-10-10,Widget B,West,2824.0,6,758.71
2024-10-11,Widget B,North,1082.0,21,319.88
2024-10-12,Widget D,West,,43,1048.53
2024-10-13,Widget A,South,4027.0,8,1018.56
2024-10-14,Widget C,East,4952.0,1,1250.47
2024-10-15,Widget C,South,3289.0,6,645.04
2024-10-16,Widget B,West,793.0,25,151.69
2024-10-17,Widget D,West,2564.0,14,379.59
2024-10-18,Widget B,West,2296.0,24,525.7
2024-10-19,Widget D,West,4230.0,2,667.76
2024-10-20,Widget B,West,2023.0,17,306.61
2024-10-21,Widget C,North,1710.0,21,371.4
2024-10-22,Widget C,South,492.0,22,89.54
2024-10-23,Widget D,East,4193.0,28,602.83
2024-10-24,Widget B,East,3801.0,39,1000.47
2024-10-25,Widget B,North,302.0,23,82.18
2024-10-26,Widget A,North,2225.0,42,297.13
2024-10-27,Widget B,East,2450.0,26,248.68
2024-10-28,Widget D,East,2399.0,13,401.18
2024-10-29,Widget A,North,4602.0,12,1194.23
2024-10-30,Widget D,North,838.0,16,224.45
2024-10-31,Widget C,North,1601.0,30,204.39
2024-11-01,Widget A,East,986.0,12,251.3
2024-11-02,Widget B,North,1296.0,45,
2024-11-03,Widget C,East,4544.0,24,808.89
2024-11-04,Widget B,South,4709.0,43,1411.39
2024-11-05,Widget A,South,318.0,34,
2024-11-06,Widget C,East,3197.0,17,418.14
2024-11-07,Widget C,East,1240.0,12,228.85
2024-11-08,Widget A,East,1043.0,37,233.56
2024-11-09,Widget B,West,1531.0,17,438.75
2024-11-10,Widget A,West,1052.0,13,311.56
2024-11-11,Widget C,West,2501.0,46,284.93
2024-11-12,Widget C,East,4978.0,24,635.19
2024-11-13,Widget C,South,2973.0,3,767.47
2024-11-14,Widget D,North,3643.0,25,561.48
2024-11-15,Widget D,East,,23,697.13
2024-11-16,Widget B,North,168.0,43,39.09
2024-11-17,Widget A,West,512.0,35,62.65
2024-11-18,Widget C,West,1417.0,10,377.64
2024-11-19,Widget D,North,1293.0,8,174.91
2024-11-20,Widget D,West,4218.0,30,779.06
2024-11-21,Widget A,North,4233.0,3,890.78
2024-11-22,Widget A,East,4285.0,16,857.66
2024-11-23,Widget A,North,3224.0,7,764.84
2024-11-24,Widget A,South,2825.0,2,651.27
2024-11-25,Widget C,East,3280.0,46,978.78
2024-11-26,Widget C,East,2093.0,5,627.66
2024-11-27,Widget B,South,3383.0,1,687.74
2024-11-28,Widget B,West,3992.0,46,475.21
2024-11-29,Widget D,West,3838.0,10,942.49
2024-11-30,Widget B,North,3107.0,41,917.6
2024-12-01,Widget D,East,384.0,2,
2024-12-02,Widget D,East,3652.0,8,702.07
2024-12-03,Widget B,South,1896.0,6,350.68
2024-12-04,Widget A,East,3743.0,35,412.79
2024-12-05,Widget D,West,2743.0,31,643.1
2024-12-06,Widget C,West,4417.0,24,753.84
2024-12-07,Widget B,West,1758.0,12,452.67
2024-12-08,Widget C,East,4663.0,5,1242.34
2024-12-09,Widget C,South,4237.0,28,1119.61
2024-12-10,Widget D,West,1722.0,12,315.7
2024-12-11,Widget B,South,2464.0,29,404.86
2024-12-12,Widget D,East,2703.0,34,675.11
2024-12-13,Widget D,South,3866.0,42,1006.23
2024-12-14,Widget A,South,3476.0,25,689.12
2024-12-15,Widget A,North,4274.0,1,1190.76
2024-12-16,Widget C,West,1912.0,14,246.23
2024-12-17,Widget A,North,2573.0,42,709.67
2024-12-18,Widget B,North,2211.0,27,263.59
2024-12-19,Widget B,West,4556.0,31,
2024-12-20,Widget D,East,1594.0,23,329.59
2024-12-21,Widget D,South,2976.0,8,337.79
2024-12-22,Widget A,East,688.0,44,76.07
2024-12-23,Widget D,South,4266.0,38,427.04
2024-12-24,Widget A,North,1982.0,49,371.16
2024-12-25,Widget C,East,1768.0,42,450.71
2024-12-26,Widget D,North,2956.0,15,316.2
2024-12-27,Widget D,East,2544.0,13,586.27
2024-12-28,Widget A,West,4255.0,13,1125.98
2024-12-29,Widget D,West,2703.0,46,361.12
2024-12-30,Widget A,South,2633.0,28,340.64
2024-12-31,Widget C,West,,23,167.11
2025-01-01,Widget B,East,207.0,48,54.78
2025-01-02,Widget B,South,2052.0,30,426.38
2025-01-03,Widget A,North,4991.0,45,1316.83
2025-01-04,Widget D,South,4594.0,49,544.62
2025-01-05,Widget B,East,3182.0,4,569.25
2025-01-06,Widget C,West,3191.0,18,789.96
2025-01-07,Widget B,North,2018.0,36,305.71
2025-01-08,Widget B,East,969.0,40,242.7
2025-01-09,Widget D,West,141.0,8,28.32
2025-01-10,Widget A,West,1760.0,16,440.09
2025-01-11,Widget C,South,1650.0,27,318.34
2025-01-12,Widget C,North,1038.0,40,180.18
2025-01-13,Widget B,South,1369.0,6,196.91
2025-01-14,Widget B,West,221.0,30,31.31
2025-01-15,Widget A,West,3079.0,15,770.67
2025-01-16,Widget D,East,4644.0,11,574.84
2025-01-17,Widget D,North,3484.0,26,408.31
2025-01-18,Widget A,North,2296.0,21,310.55
2025-01-19,Widget A,South,2159.0,32,291.61
2025-01-20,Widget A,East,1606.0,16,424.98
2025-01-21,Widget A,North,797.0,41,143.22
2025-01-22,Widget D,East,3032.0,4,903.77
2025-01-23,Widget D,East,2875.0,43,366.4
2025-01-24,Widget A,North,135.0,2,31.15
2025-01-25,Widget C,North,2136.0,37,405.3
2025-01-26,Widget A,South,1462.0,17,261.09
2025-01-27,Widget B,East,934.0,19,256.87
2025-01-28,Widget C,West,3544.0,1,1045.9
2025-01-29,Widget C,South,2676.0,35,734.75
2025-01-30,Widget D,South,3205.0,9,443.76
2025-01-31,Widget A,West,3596.0,33,518.4
2025-02-01,Widget A,South,4910.0,36,1135.26
2025-02-02,Widget B,South,4033.0,42,636.47
2025-02-03,Widget B,South,3139.0,35,775.16
